SiteName,Region,Period,TombID,BronzePeriod,NoInterRegionalPotImports,InterRegionalPotImportDesc,NoInternPotImports,InternPotImportsDesc,NoLocalPots,LocalPotsDesc,NoRitualItems,RitualItemDesc,NoFeastingSpecial,FeastingSpecialDesc,NoCuLocalArtifacts,CuLocalArtifactsDesc,NoBrzArtifacts,BrzArtifactsDesc,NoOtherMetalImports,OtherMetalImportsDesc,NoAnimalBone,AnimalBoneDesc,NoOtherInterRegionalImport,OtherInterRegionalImportDesc,NoOtherInternationalImport,OtherInternationalImportDesc,NoOtherLocalGoods,OtherLocalGoodsDesc,NoIntraRegionalPotImport,IntraRegionalImportPotDesc,NoIntraRegionalImport,IntraRegionalImportDesc,NoLocalPicrolite,PicroliteDesc,NoPicroliteImport,NoTombdecor,MetalMakingSupIconDesc,TotalPots,TotalIntraRegionalGoods,TotalInterRegionalGoods,TotalInternationalGoods,TotalIdeology,TotalMinerals,TotalMetals,TotalLocal,TotalArtifacts,TotalImports,TotalFeasting,TotalLocalImport
Lapithos Vrysi tou Barba,North,PreBA 2,812 Total,ECIIIA-IIIB,3,,0,,47,,0,,0,,0,,0,,0,,1,,0,,0,,3,,0,,0,,0,,0,2,,50,0,3,0,0,0,0,50,53,3,51,3
Lapithos Vrysi tou Barba,North,PreBA 2,813 Total,ECII-ECIIIB/MCI,3,,0,,76,,1,,2,,6,,0,,1,,0,,0,,0,,6,,0,,0,,0,,0,8,,79,0,3,1,1,7,7,88,92,4,81,3
Lapithos Vrysi tou Barba,North,PreBA 2,816/835B,ECIIIB/MCI,0,,0,,16,"RPIII jug 4
RPII BT bowl 3
RPIII gourd juglet 1
RPIII amphora 1
RPIII two necked jug 1
RP jug 1
RPIII jar 1
RPII bowl 1
RPII pithos 1
""pot"" 2",0,,1,RPIII two necked jug 1,2,"Copper based razor 1
Copper based knife 1",0,,0,,0,,0,,0,,1,"Stone tool, maybe flake used as chisel 1",0,,0,,0,,0,0,,16,0,0,0,0,2,2,19,19,0,17,0
Lapithos Vrysi tou Barba,North,PreBA 2,817A Total,"ECII, ECIIIB, MCI",1,BP bottle 1,0,,26,"RPIII juglet 1
RPII BT bowl 6
RPIII amphora 2
RP amphora 1
RPII jug 2
RPIII jug 4
RPII or III jug 1
RP jug 2
RPIII gourd juglet 1
Lg amphora 2
RPIII amphora 1
RPIII jar 1
RPII pithos 1
RP pot 1",0,,0,,4,"Copper based pin 1
Unalloyed copper knife/scraper (tested) 1
Copper based knife 1
Arseical copper dagger/hook tang weapon (tested) 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,27,0,1,0,0,4,4,30,31,1,27,1
Lapithos Vrysi tou Barba,North,PreBA 2,819 Total,ECIIIA-IIIB/MCI,0,,0,,22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,22,0,0,0,0,0,0,22,22,0,22,0
Lapithos Vrysi tou Barba,North,PreBA 2,826 Total,"ECII, ECIIIB",0,,0,,57,,0,,0,,1,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,1,,57,0,0,0,0,1,1,60,60,0,57,0
Lapithos Vrysi tou Barba,North,PreBA 2,827 Total,ECIIIB-MCI,1,,0,,85,,0,,1,,5,,0,,0,,1,,0,,0,,4,,0,,0,,0,,0,5,,86,0,1,0,0,5,5,94,95,1,88,1
Lapithos Vrysi tou Barba,North,PreBA 2,828 Total,ECIIB-MCI,0,,0,,46,,0,,1,,4,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,1,,46,0,0,1,0,5,5,50,51,1,48,0
Lapithos Vrysi tou Barba,North,PreBA 2,829 Total,ECII/ECIIIB,1,,0,,74,,3,,0,,8,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,4,,75,0,1,0,3,8,8,86,87,1,75,1
Lapithos Vrysi tou Barba,North,PreBA 2,832 Total,ECIIIB,0,,0,,12,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,,12,0,0,0,0,2,2,14,14,0,12,0
Lapithos Vrysi tou Barba,North,PreBA 2,833 Total,ECIIIB/MCI,0,,0,,41,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,,41,0,0,0,0,0,0,41,41,0,41,0
Lapithos Vrysi tou Barba,North,PreBA 2,834 Total,ECIIIA or B,0,,0,,43,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,3,,43,0,0,0,0,0,0,43,43,0,44,0
Lapithos Vrysi tou Barba,North,PreBA 2,835 Total,"ECIIIA, B, MCI",0,,0,,35,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,35,0,0,0,0,2,2,37,37,0,35,0
Lapithos Vrysi tou Barba,North,PreBA 2,836 Total,ECIIIA-IIIB,1,,0,,16,,0,,0,,3,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,0,,17,0,1,0,0,3,3,19,20,1,19,1
Lapithos Vrysi tou Barba,North,PreBA 2,301 Total,ECIII,0,,0,,27,,0,,0,,8,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,0,,27,0,0,0,0,8,8,36,36,0,27,0
Larnaca Ayios Prodromos,South,PreBA 2,24,MC I-II,2,RP gourd juglet 2,0,,57,"RPm dipper 1
RP dipper 2
RPm small bowl 11
RP small bowl 7
RPm lg bowl 3
RP lg jug 7
RP small jug 6
RP jug 1
RP juglet 3
RP lg spouted bowl 1
RPm lg spouted bowl 1
RP small spouted bowl 1
Coarse cooking pot 2
Coarse one-handled cooking pot 1
Coarse tripod cooking pot 1
RP small amphora 1
RP/RPm small amphora 1
RPm jar 1
juglet 1
RP pyxis 2
RP pyxis lid 1
RP bird-shaped askos 1
WP IA small bowl 1",1,RP bird-shaped askos 1,0,"High number of vessels, both pouring and bowls,",0,,0,,0,,0,,0,,0,,1,RP spindle whorl 1,0,,0,,0,,0,0,,59,0,2,0,1,0,0,58,60,2,59,2
Larnaca Ayios Prodromos,South,PreBA 2,39,MC II,1,RP gourd juglet 1,0,,25,"RPm lg spouted bowl 1
RP jug 9
RP juglet 1
RPm bowl 4
RPm small bowl 1
RP bowl 1
RP amphora 3
Coarse cooking pot 2
RP cups possibly attached to lger vessel 3",0,,1,RP cups possibly attached to lger vessel 3,2,Copper or bronze tweezers 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,26,0,1,0,0,2,2,27,28,1,27,1
Larnaca Ayios Prodromos,South,PreBA 2,40,MC II,1,Black Slip II jug 1,0,,10,"RPm lg bowl 1
RPm lg spouted bowl 1
RPm small bowl 4
RP small bowl 1
RPm jug 1
RP jug 1
RP jar 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,11,0,1,0,0,0,0,10,11,1,11,1
Larnaca Ayios Prodromos,South,PreBA 2,41,MC II,7,"RP gourd juglet 4
RP III gourd juglet 2
RP black-topped bowl 1",0,,15,"RPm lg bowl 1
RPm spouted bowl 1
RPm lg spouted bowl 1
RPm small bowl 3
RP small bowl 1
RP bowl 1
RPm juglet with snake decoration 1
RP III juglet 1
RP lg jug 2
RP jug 1
Coarse one-handled cooking pot 1
BrP bottle 1",1,RPm juglet with snake decoration 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,22,0,7,0,1,0,0,15,22,7,22,7
Larnaca Ayios Prodromos,South,PreBA 2,42,MC II,3,RP III gourd juglet 3,0,,41,"RP lg jug 5
RP jug 3
RP jug with relief wavy bands (snake) 1
RP jug with wavy line (snake) 1
RP jar 2
RP juglet 1
RP amphora 3
RPm lg spouted bowl 4
RPm small bowl 15
RPm lg bowl 1
RPm small spouted bowl 2
Coarse cooking pot 1
RPm coarse one handled cooking pot 1
RPm coarse tripod cooking pot 1",2,"RP jug with wavy line (snake) 1
RP jug with relief wavy bands (snake) 1",0,"Many pouring vessels, small bowls and cooking vessels",1,Copper or bronze tweezer 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,44,0,3,0,2,1,1,42,45,3,44,3
Limassol,South,PreBA 2,1,ECIII-MC,0,,0,,10,"RP deep bowl 1
RP small bowl 3
RP juglet 2
RP jug 3
RP amphora 1",0,,0,,6,"Unalloyed or arsenical copper Toggle Pin 1 (tested)
Unalloyed or arsenical copper Hook-tang weapon/Dagger blade 1 (tested)
Unalloyed or arsenical copper tweezers 1 (tested)
Needle frag 1
Needle 1
Unalloyed copper or arsenical copper pin 1 (tested)
Copper beads in faience necklace 1",3,"Tin Bronze Knife 1 (tested, iffy)
Tin Bronze (?) pin 2 (tested)",0,,0,,0,,1,Blue paste bead necklace with bronze beads in form of spirals counted as 1 object,5,"Spindle whorl 2 (clay)
RP spindle whorl 3",0,,0,,0,,0,0,,10,0,0,4,0,9,9,21,25,4,10,0
Limassol,South,PreBA 2,4,ECIII,0,,0,,15,"RP small bowl 5
RP small spouted bowl with loop handle 1
RP small shallow bowl 1
Coarse ware bowl 1
RP juglet 1
RP jug 4
RP amphora 1
RP coarse jar 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,15,0,0,0,0,0,0,15,15,0,15,0
Linou (Georgiou),Central,PreBA 2,8,ECIII-MCI,6,"RP/DP jug 1
WPIII juglet 1
DP jug 1
DP juglet 1
WPIII flask 1
RP side spouted bowl 1",0,,59,"RP pyxis 1
RP jar 1
RPIII zoomorphic vessel 1
RP flask 1
RP juglet 6
RPIII jug 3
RP jug 15
RPBT bowl 4
RPIII juglet 5
RPIII side spouted bowl 1
RP tripod bowl 1
RP bowl 18
RPIII bowl 1
RPm bowl 1",0,RPIII zoomorphic vessel 1,0,,7,"Copper alloy toggle pin (untested) 2
Copper alloy pin (untested) 4
Copper alloy hollow tube (untested) 1",0,,0,,0,,0,,0,,6,"Bone needle 1
RP spindle whorl 4
Bone lid 1",5,"BSII juglet 1
RS juglet 1
RS jug 2
BP bowl 1",1,BP spindle whorl 1,0,,0,0,,70,6,6,0,0,7,7,72,84,12,70,12
Linou Alonia,Central,PreBA 2,1,MCII,7,DP pots 5                             BSII pots 2,0,,60,"RPIII pots 30
RPIII bird shaped juglet 1
RPIII funnel 1
RPIV pots 20
WPI pots 2
Coarse ware pots 2
WPIII pots 4",1,RPIII bird shaped juglet 1,1,RPIII funnel 1,2,"Copper based dagger 1
Copper based awl 1",0,,0,,0,,0,,0,,8,"Spindle whorls (kind not listed) 6
Stone beads 2",1,RPIV spouted jug with projections from Deneia 1,0,,0,,0,0,,68,1,7,0,1,2,2,70,78,8,69,8
Linou Alonia,Central,PreBA 2,2,MCII,4,DP pots 2                            BSII pots 2,0,,41,"RPIII pots 22
RPIV pots 17
WPIII pots 2",0,,0,,3,Copper based pins 3,0,,0,,0,,0,,0,,6,"Spindle whorl (type not listed) 5
Stone celt 1",0,,0,,0,,0,0,,45,0,4,0,0,3,3,50,54,4,45,4
Linou Alonia,Central,PreBA 2,5,MCII,5,"DP miniature juglet 1
DP juglet 1
DP bowl 1                              RS jug 1
RSII jug 1",0,,74,"RPIII amphora 2
RPII basin 1
RPIII jug 6
RPIII juglet 9
RPIII bowl 18
RPIII spouted bowl 1
RPIV bowl 5
RPIV basin 3
RPIV tripod cooking pot 2
RPIV jug  24
RPIV ladle 1
WPIII flask 1
WPIII jug 1",0,,0,,13,"Copper based scraper 1
Copper based dagger or spearhead 1
Copper based dagger 1
Copper based needle 3
Copper based awl 1
Arsenical copper awl (tested) 1
Arsenical copper knife (tested) 1
Copper based pin 3
Copper based hook tang weapon 1",1,Tin bronze knife (tested) 1,0,,0,,0,,0,,6,"Igneous macehead 3
Pierced whetstone 1
Limestone machead 1
RPIII spindle whorl 1",1,BP flask 1,0,,0,,0,0,,80,1,5,1,0,14,14,93,100,7,80,6
Marki Davari,Central,Philia,6,Phila,5,"WPP deep bowls 2
WPP small closed vessel 1
WPP lid/pyxis 1
WPP one more?",0,,43,"RPP bowl 9
RPP thinned wall bowl 1
RPP flask 1
RPP juglet 1
RPP jars 2
RPP spouted jugs 5
RPP pithos 1
RPP amphora 2
43 fragmentary vessels",0,,0,,1,Copper/bronze earring 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,48,0,5,0,0,1,1,44,49,5,48,5
Marki Davari,Central,Philia,7,Philia,3,"WPP pyxis/lid 1
WPP spouted bowl 1
WPP cooking pot 1",0,,6,"Looted
RPP spouted jugs 5
RPP amphora 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,9,0,3,0,0,0,0,6,9,3,9,3
Marki Davari,Central,PreBA 2,5,ECIII- MCI,1,RPIII BT flask 1,0,,13,"RP small bowl 5
RPBT bowl 1
RP lg bowl 3
RP tripod pan 1
RPIII BT amphora 1
RPIII BT spouted jug 1
RPIII BT lg pithos 1",0,,0,,0,,0,,0,,0,,0,,0,,1,Sickle blade 1,0,,0,,0,,0,0,,14,0,1,0,0,0,0,14,15,1,14,1
Marki Vounarous,Central,PreBA 2,1,ECIII,1,WPII amphora 1,0,,17,"RP lg deep bowl 1
RP small bowl 4
Compsite ware small bowl 1
Composite ware bowl 1
RP lg deep bowl with relief animals 1
RP lg deep bowl 1
BP small bowl 2
RP double spouted lg bowl 1
RP lg bowl 3
RP jugs 2",1,RP lg deep bowl with relief animals (goats) 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,18,0,1,0,1,0,0,17,18,1,18,1
Marki Vounarous,Central,PreBA 2,2,ECIII,0,,0,,12,"RP lg bowl 3
RP small bowl 7
BP bowl 1
RP bottle 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,12,0,0,0,0,0,0,12,12,0,12,0
Mesoyi Katarraktis,South,PreBA 2,1,MC,0,,0,,8,"DP deep spouted bowl 1
Coarse ware cup 1
DP bowl 1
DP jug 1
DP jug with relief disk 1
DP bowl fragments 1
DP juglet 1
RP cooking pot fragments 1",1,DP jug with relief disk 1,1,Coarse ware cup 1,0,,0,,0,,0,,0,,0,,1,DP spindle whorl 1,0,,0,,0,,0,0,,8,0,0,0,1,0,0,9,9,0,9,0
Nicosia Ayia Paraskevi,Central,Philia,003/3a Theophanides St,Philia,1,WPIA Philia bowl 1 + sherds,0,,20,"RPPI jug 10
RPPI bottle 2
RPPI bowl 3
RPPI stroke burnished bowl 1
RPPI amphora 1
RPPI spouted bowl 2
RPPI flask 1",0,,0,Ash patch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,21,0,1,0,0,0,0,20,21,1,21,1
Nicosia Ayia Paraskevi,Central,Philia,004 Theophanides St,Philia,4,"BPP flask 1
WPIA Philia lid 1
WPIA Philia bowl 1
WPIA Philia ""offering stand"" or base of something 1",0,,12,"RPPI jug or bottle 1
RPPI jug 5
RPPI bowl 3
RPPI Stroke Burnished bowl 1
RPPI bottle 1
RPPI spouted bowl 1",1,Fish style anthropomorphic figurines of picrolite and other pendants resembling anthropomorphs of picrolite probably one necklace,0,,8,Copper earring 8 (untested),0,,0,,0,,0,,0,,3,"Spindle whorl 1
Bone pin 1
Bead necklace, 596 beads counted as 1 object",0,,0,,0,"Picrolite pendant 2
Picrolite flake 1
Picrolite ""fish"" anthropomorphic pendant 35
Picrolite necklace spacer 1",37,0,,16,0,41,0,1,45,8,23,64,41,16,41
Nicosia Ayia Paraskevi,Central,Philia,009 Theophanides St,Philia,4,"WPIA Philia composite ware bridge spouted bowl 1
WPIA Philia bridge spouted bowl 1
WPIA Philia spouted bowl 1
WPIA Philia offering stand or pedestal base 1",0,"Disturbed, earlier looting",28,"RPPI Stroke Burnished bowl 2
RPPI bowl 4
RPPI spouted bowl 1
RPPI jar 2
RPPI flask 1
RPPI jug 13
RPPI mosque lamp amphora 3
RPPI jug or bottle 2",1,Anthropomorphic/fish pendants of picrolite necklace 1,0,,2,"Copper knife (untested) 1
Copper earring (untested) 1",0,,0,,0,,0,,0,,1,Bead (no material indicated) 1,1,Black Slip and Combed amphora 1,0,,0,Picrolite fish/anthropomorphic pendant one necklace? 1,1,0,,33,1,5,0,1,3,2,31,37,6,33,6
Nicosia Ayia Paraskevi,Central,Philia,012 Theophaides St,Philia,0,,0,Looted probably,2,"RPPI bowl 1 
RPPI bottle 1",0,,0,,2,"Arsenical copper knife 1 (tested)
Arsenical copper dagger 1 (tested)",0,,0,,0,,0,,0,,2,Limestone whetstone 2,0,,0,,0,,0,0,,2,0,0,0,0,2,2,6,6,0,2,0
Nicosia Ayia Paraskevi,Central,Philia,014A lower burial Theophanides St,Philia,1,WPIA Philia Composite bowl 1,0,,12,"RPPI jug 4
RPPI bottle 2
RPPI juglet 1
RPPI stroke burnished bowl 1
RPI jug 1
RPI bowl 1
RPII jug 1
RPI-II jug 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,13,0,1,0,0,0,0,12,13,1,13,1
Nicosia Ayia Paraskevi,Central,Philia,027 Georgiou,Philia,0,,0,Incomplete excavation,9,"RPP jug 4
RPP flask 1
RPP bowl 2
RPP amphora 1
RPP jar 1",0,,0,,2,Copper spiral earring 2 (untested),0,,0,,0,,0,,0,,1,Stone button/toggle 1,0,,0,,0,,0,0,,9,0,0,0,0,2,2,12,12,0,9,0
Nicosia Ayia Paraskevi,Central,Philia,028 Georgiou,Philia,0,,0,,1,RPP jug 1,0,,0,,2,"Copper based knife 1 (untested)
Copper based axe 1 (untested)",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,1,0,0,0,0,2,2,3,3,0,1,0
Nicosia Ayia Paraskevi,Central,PreBA 2,001 Epaminondas Street,ECIII,0,,0,,35,"RPII jug 7
RPII bowl 18
RPIII spouted dish 2
RPII spouted basin 1
RPIII flask 3
RPIII spouted bowl 1
RPIII amphora 1
RPII amphora 1
RPIII stemmed bowl 1",0,,1,RPIII stemmed bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,35,0,0,0,0,0,0,35,35,0,36,0
Nicosia Ayia Paraskevi,Central,PreBA 2,002 Flourentzos,ECIII-MCI,0,,0,unlooted,10,"RPIV bowl 7
RPIII bowl 1
RPIII amphoriskos 1
RPIII jug 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,10,0,0,0,0,0,0,10,10,0,10,0
Nicosia Ayia Paraskevi,Central,PreBA 2,003 Flourentzos,ECIII-LCII,0,,0,,3,"RPIV bowl 2
RPIII bowl 1",0,,0,,3,"Bronze pin 1 (untested)
Bronze sword 1 (untested)
Bronze razor 1 (untested)",0,,0,,0,,0,,0,,0,,2,"WPIV miniature bowl 1
Red and Black Polished III flask 1",0,,0,,0,0,,5,2,0,0,0,3,3,6,8,2,5,2
Nicosia Ayia Paraskevi,Central,PreBA 2,004 Flourentzos,ECIII-LCII,1,WPI bowl 1,0,,24,"RPIV bowl 20
RPIII bowl 3
RPIII jug 1 with deer and crescent relief",1,RPIII jug 1 with deer and crescent relief 1,0,,0,,0,,0,,0,,0,,0,,0,,5,"RS juglet 2
BSIII juglet 1
Red and Black Polished Flask 1
RS bowl 1",0,,0,,0,0,,30,5,1,0,1,0,0,24,30,6,30,6
Nicosia Ayia Paraskevi,Central,PreBA 2,005 Theophanides St,MCIII,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,"BSII bowl 1
BSII juglet 1",0,,0,,0,0,,2,2,0,0,0,0,0,0,2,2,2,2
Nicosia Ayia Paraskevi,Central,PreBA 2,006 Krumholz,MC-LC,2,"WPV jar in eastern style ? 1
WPIII bowl in Lapithos/Karpass style 1",0,Badly documented though completely excavated so metal and other objects can't be dated correctly,41,"RP bowl 35
RP gourd juglet 1
WPV in central style jug 1
WPV in central style juglet 3
WPIII in cental style ring vase 1",0,,1,WPIII in cental style ring vase 1,0,,0,,0,,0,,0,,0,,0,,1,RS juglet 1,0,,0,,0,0,,44,1,2,0,0,0,0,41,44,3,45,3
Nicosia Ayia Paraskevi,Central,PreBA 2,007 Theophanides St,MCIII,0,,0,Disturbed,5,"RPIV juglet 2
RPIV bowl 1
RPIV jug 1
RPIV sherd",0,,0,,0,,0,,0,,0,,0,,0,,0,,2,"WPIV Composite bowl 1
RS bowl 1",0,,0,,0,0,,7,2,0,0,0,0,0,5,7,2,7,2
Nicosia Ayia Paraskevi,Central,PreBA 2,"008a, b, c, d Krumholz",MC,9,"WPII bowl 6
WPII miniature animal 1
WPII-III tripod juglet (based on motif)1
WPIII bowl cross line style (north) 1",0,,139,"RP bowl 86
RP askos 2
RP juglet 8
RP miniature juglet 1
RP jug 30
RP amphora 6
RPII bowl 1
RP gourd juglet 2
RP tankard 2
RP miniature amphora 1",7,"WPIII animal vase 2
WPIV animal 2
WPII miniature animal 1
RP miniature animal 1
WPIII figurine 1",3,"WPIV ring vase 2
WPIII-IV composite vessel 1",5,"Copper needle 1  (untested)
Dagger 1 (copper/bronze untested)
Knife 1 (copper/bronze untested)
Earrings 2 (copper/bronze untested)",0,,1,Lead spiral ring fragments 20 (tested from Turkey),0,,1,BP spindle whorl 1,9,"Faience beads 8
Lead spiral ring fragments 20 (tested from Turkey)",1,RP miniature animal 1,187,"*WP in this category bc strongest links are within the central region 
WPIII bowl 2
WPIII spouted bowl  1
WPIV juglet 36
WPIV jug 26
WPIII jug 3
WPIII tripod jug 1
WPIV tripod juglet 1
WPIV tripod jug 1
WPIV bowl 17
WPIII-IV bowl 5
WPIV flask 10
WPIV bottle 16
WPIV amphora 2
Composite bowl 1
WPIII-IV jug 1
WPV bowl 5
WPIII juglet 3
WPIV tankard 2
WPV flask 1
WPV bottle 2
WPV juglet 2
WPV jug 1
WPIV juglet 3
WPIII animal vase 2
WPIV ring vase 2
WPIII-IV composite vessel 1

BS jug 1
RS bottle 1
BS bottle 7
RS juglet 8
BS bowl 1
BS juglet 15
RS tankard 1
RS jug 3
RS juglet 2",2,"WPIV animal 2
WPIII figurine 1",0,,0,0,,335,189,10,10,7,6,6,145,354,209,338,199
Nicosia Ayia Paraskevi,Central,PreBA 2,010 Krumholz,MC,0,,0,,34,"RP bowl 22
RP jug 3
RP miniature bowl 1
RP amphora 1
RP gourd juglet 3
RP askos 1
RP quadruped juglet 1
RP juglet 2",1,RP quadruped juglet 1,0,,1,Copper/bronze pin 1 (untested),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,34,0,0,0,1,1,1,35,35,0,34,0
Nicosia Ayia Paraskevi,Central,PreBA 2,010 Theophanides St,MCII,1,DP juglet 1,0,Disturbed,1,RPIII bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,2,0,1,0,0,0,0,1,2,1,2,1
Nicosia Ayia Paraskevi,Central,PreBA 2,011 Theophanides St,ECIII,0,,0,Robbed,15,"RPII bowl 9
RPIII amphora 2
RPIII flask 2 (gourd juglets?)
RPIII spouted basin 1
RPIII jug 1",0,,0,,0,,0,,0,,0,,1,BP spindle whorl 1,0,,3,"Sandstone mortar 1
Stone rubber 1
Stone quern 1",0,,0,,0,,0,0,,15,0,1,0,0,0,0,18,19,1,15,1
Nicosia Ayia Paraskevi,Central,PreBA 2,013 Theophanides St,MCIII,0,,0,,2,"RPIII bowl 1
RPIV juglet 1",0,,0,,2,"Copper pin 1 (tested?)
Copper ring 1 (tested?)",0,,4,Lead hair ring 4,0,,0,,0,,0,,10,"BSII juglet 1
BSII tankard 1
WPIII miniature jar 1
WPIII bowl 3
WPIV spouted bowl 2
WPIV bowl 2",0,,0,,0,0,,12,10,0,4,0,6,6,4,18,14,12,10
Nicosia Ayia Paraskevi,Central,PreBA 2,014 upper Theophanides St,ECIII-MCIII?,0,,0,,3,RPIII bowl 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,3,0,0,0,0,0,0,3,3,0,3,0
Nicosia Ayia Paraskevi,Central,PreBA 2,025 Georgiou,ECIII-MCI,0,,0,,3,"RP jug with wavy snake relief 1
RP amphora 2",1,RP jug with wavy snake relief 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,3,0,0,0,1,0,0,3,3,0,3,0
Nicosia Ayia Paraskevi,Central,PreBA 2,026a and b Georgiou,ECIII-MCI,0,,0,,3,"RP juglet 1
RP bowl 1
T26b: RP jug 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,3,0,0,0,0,0,0,3,3,0,3,0
Nicosia Ayia Parskevi,Central,PreBA 2,001 Flourentzos,MCI-LCII,0,,0,,5,"RPIII bowl 1
RPIV bowl 2
RPIV miniature bowl 1
RPIV zoomorphic spout (snake) 1",1,RPIV zoomorphic spout (snake) 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,5,0,0,0,1,0,0,5,5,0,5,0
Philia Vasiliko,Central,Philia,1,Philia,2,Red and Black Polished bowl 2,0,,57,"RPP bowl 8
RPP spouted bowl 4
RPP jug 13
RPP amphora 6
RPP bottle 4
RPP small bottle 1
RPP (labeled as Red Slip) bowl 4
RPP (labeled as Red Slip) goblet 2
RPP (labled as Red Slip) jug 7
RPP (labeled as Red Slip) amphora 2
RPP (labeled as Red Slip) juglet 1
RPP (labeled as Red Slip) bottle 1
RPP (labeled as Band-Burnished) bowl 3
RPP Coarse jar 1",2,"Shell anthropomorphic pendant 1
Picrolite anthropomorphic pendant 1",1,RPP (labeled as Red Slip) goblet 2,4,"Unalloyed Copper knife 1 (tested) 
Cold worked scraper 1 (tested not bronze)
Bronze  toggle-pin 1 (untested)
Bronze earring 1 (untested)",0,,0,,0,,1,Shell anthropomorphic fish pendant 1,0,,1,Spindle whorl 1,6,"Black Slip and Combed bowl 2
Black Slip and Combed pithos 1
WPP (labeled as Red on White) spouted bowl 2
WPP (labeled as Red on White) spouted bowl with basket handle 1",0,,0,Picrolite anthropomorphic fish pendant 1,1,0,,65,6,4,0,2,5,4,62,72,10,66,10
Philia Vasiliko,Central,Philia,2,Philia,0,,0,,8,"RPP bowl 1
RPP jug 4
RPP jar 1
RPP spouted bowl (labeled tea-pot) 1
RPP Coarse jar 1",1,Anthropomorphic fish pendants in picrolite and shell one necklace 1,0,,2,Bronze earring (untested) 2,0,,0,,0,,1,Shell anthropomorphic fish pendant one necklace 1,0,,4,"Spindle whorl 2
Stone mace-head 1
Flint blade 1",1,WPP (labeled Red on White) lid 1,0,,0,Picrolite anthropomorphic fish pendant 1,1,0,,9,1,2,0,1,3,2,14,17,3,9,3
Philia Vasiliko,Central,Philia,3,Philia,1,Red and Black Polished bowl 1,0,,12,"RPP bowl 2
RPP jug 2
RPP amphora 2
RPP small bottle 1
RPP jar 1
RPP (labeled as Red Slip) bowl 1
RPP (labeled as Red Slip) amphora 1
RPP (labeled as Band Burnished) bowl 2",0,,0,,3,"Unalloyed Copper toggle pin 1 (tested)
Unalloyed copper, cast and coldworked knife 1 (tested)
""Bronze"" knife 1 (untested)",0,,0,,0,,0,,0,,0,,2,"WPP (labeled as Red on White) bowl 1
WPP (labeled as Red on White) spouted bowl 1",0,,0,,0,0,,15,2,1,0,0,3,3,15,18,3,15,3
Philia Vasiliko,Central,Philia,4,Philia,0,,0,,4,"RPP jug 1
RPP (labeled as Red Slip) jug 1
RPP (labeled as Red Slip) juglet 1
RPP Coarse jar 1",1,Shell anthropomorphic fish pendant 1,0,,2,"""Bronze"" knife 1
""Bronze"" toggle pin 1",0,,0,,0,,1,Shell anthropomorphic fish pendant 1,0,,2,"Spindle whorl 1
Flint blade 1",0,,0,,0,,0,0,,4,0,1,0,1,2,2,8,9,1,4,1
